c15h32_2610          2   389.767     9.356     0.000     28.41     1.000 ! LJ parameters estimated by RMG: Tc= 708.782K Pc=  14.413bar Vc= 857.500cm3/mol Tb= 541.280K	(CsH3R, CsHR3, CsH2R2, CsH2R2, CsH2R2, CsHR3, CsH2R2, CsH3R, CsH3R, CsH2R2, CsH2R2, CsHR3, CsH2R2, CsH3R, CsH3R)
! the following intermediates are just roughly estimated
c15ooh_9_2610_j      2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_9_2610_k      2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_9_2610_l      2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_9_2610_m      2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_9_2610_n      2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_10_2610_d     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_10_2610_e     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_10_2610_f     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_10_2610_g     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_10_2610_h     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_10_2610_i     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_10_2610_k     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_10_2610_l     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_10_2610_m     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_10_2610_n     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_11_2610_e     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_11_2610_f     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_11_2610_g     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_11_2610_h     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_11_2610_i     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_11_2610_j     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_11_2610_l     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_11_2610_m     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_11_2610_n     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_12_2610_f     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_12_2610_h     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_12_2610_i     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
c15ooh_12_2610_j     2   389.767     9.356     0.000     28.41     1.000 ! Same as c15h32_2610
